id,supplier_id,invoice_id,prod_id,product_name,quantity,discount,total_amount,account_id,account_name,account_address,user_id,user_name,employee_name,city,region,area,area_id,creation_date,created_at,branch_code,Global_Account_ID
48974607,59,77779,8,سيبروسين نقط س ج,1,28.0,15.12,7665,صيدليه شريف خطاب محمد نبيل القطاميه,10عمارات شركه الصعيد محور سعد زغلول,136,صباح وحيد,صباح وحيد,القاهرة,القاهرة الكبرى,القطامية,44.0,2025-12-02 10:22:29,2026-05-19 16:41:54,006,GLB_0024
48985344,59,79225,8,سيبروسين نقط س ج,1,28.0,15.12,7664,صيدليه محمد نبيل شحاته الوراق,8ش صبري ابو علم وراق الحضر بجانب عماره سيد عبد التواب,136,صباح وحيد,صباح وحيد,الجيزة,القاهرة الكبرى,الوراق,64.0,2025-12-09 13:32:27,2026-05-19 16:42:13,004,GLB_0025
49008858,59,82373,8,سيبروسين نقط س ج,1,28.0,15.12,6151,صيدليه الدكتور البكري حدايق اكتوبر,حدايق اكتوبر,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,أكتوبر,6.0,2025-12-24 02:13:23,2026-05-19 16:43:09,002,GLB_0026
49030404,59,85281,8,سيبروسين نقط س ج,2,29.0,29.82,7317,صيدليه داليا احمد حدائق,البوابه الثانيه 26 شارع جاردينيا,137,اسماء رجب,اسماء رجب,القاهرة,القاهرة الكبرى,الحدائق,19.0,2026-01-09 15:32:15,2026-05-19 16:43:54,02,GLB_0027
49041338,59,86867,8,سيبروسين نقط س ج,1,26.0,15.54,5579,صيدليه ايمان عبدالله دار السلام,شارع محمد عوض من نور عطاالله دار السلام 32,167,انور محمد م,انور محمد م,القاهرة,القاهرة الكبرى,دار السلام,84.0,2026-01-18 14:00:24,2026-05-19 16:44:21,006,GLB_0019
49047338,59,87702,8,سيبروسين نقط س ج,2,29.0,29.82,6840,صيدليه السعداوي الهرم,12 شارع الامام عبده من عثمان محرم الطالبيه هرم امام شركه سيد للادويه,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,الطالبية,34.0,2026-01-22 01:29:02,2026-05-19 16:44:31,070,GLB_0028
49057571,59,89276,8,سيبروسين نقط س ج,12,28.0,181.44,2484,صيدليه ماجد احمد فيصل,1 شارع الورشه امام مستشفي القاهره فيصل,154,توريد,توريد,الجيزة,القاهرة الكبرى,فيصل,99.0,2026-01-30 19:03:22,2026-05-19 16:44:57,001,GLB_0029
49074890,59,91787,8,سيبروسين نقط س ج,1,28.0,15.12,7664,صيدليه محمد نبيل شحاته الوراق,8ش صبري ابو علم وراق الحضر بجانب عماره سيد عبد التواب,136,صباح وحيد,صباح وحيد,الجيزة,القاهرة الكبرى,الوراق,64.0,2026-02-14 14:48:43,2026-05-19 16:45:25,004,GLB_0025
49077566,59,92192,8,سيبروسين نقط س ج,1,26.0,15.54,4811,صيدليه محمد الوراق ش التل,شارع التل,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,الوراق,64.0,2026-02-16 22:41:08,2026-05-19 16:45:30,004,GLB_0030
49081070,59,92685,8,سيبروسين نقط س ج,1,26.0,15.54,6925,صيدليه مازن محمد دياب برطس,برطس داير الناحيه بجوار مسجد العمده,168,ياسمين خالد,ياسمين خالد,الجيزة,القاهرة الكبرى,برطس,66.0,2026-02-19 14:58:10,2026-05-19 16:45:35,007,GLB_0031
49095467,59,94606,8,سيبروسين نقط س ج,5,29.0,74.55,7647,صيدليه الفتح حدائق اكتوبر,مول الفتح بجوار مشروع 266 حدائق اكتوبر,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,حدائق أكتوبر,79.0,2026-03-03 11:50:54,2026-05-19 16:46:09,002,GLB_0032
49099352,59,95155,8,سيبروسين نقط س ج,2,29.0,29.82,223,صيدليه نجلاء فيصل,شارع الشيخ الريحان الطالبيه,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,الطالبية,34.0,2026-03-06 12:32:15,2026-05-19 16:46:15,001,GLB_0033
49100102,59,95258,8,سيبروسين نقط س ج,2,26.0,31.08,5419,صيدليه محمود القراطيين,اول القرطيين بجول بنزيمه التعاون,168,ياسمين خالد,ياسمين خالد,الجيزة,القاهرة الكبرى,القراطيين,42.0,2026-03-07 09:46:08,2026-05-19 16:46:15,007,GLB_0034
49108044,59,96349,8,سيبروسين نقط س ج,1,28.0,15.12,7795,صيدليه لبيب حدائق اكتوبر,الممشي السياحي شارع زويل بجوار جهاز حدائق اكتوبر,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,حدائق أكتوبر,79.0,2026-03-13 01:07:48,2026-05-19 16:46:37,002,GLB_0035
49121364,59,98053,8,سيبروسين نقط س ج,1,26.0,15.54,4551,صيدليه الثقبي الرحاب,تسلم في صيدليه محمد نبيل حدائق الاهرام,76,غاده,غاده,الجيزة,القاهرة الكبرى,حدائق الأهرام,82.0,2026-03-26 16:09:49,2026-05-19 16:47:08,002,GLB_0036
49124012,59,98400,8,سيبروسين نقط س ج,1,28.0,15.12,5849,صيدليه دينا الكبري فيصل,شارع المساكن العشرين فيصل,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,العشرين,38.0,2026-03-28 23:23:05,2026-05-19 16:47:12,001,GLB_0037
49176285,59,105772,8,سيبروسين نقط س ج,1,29.0,14.91,7833,صيدليه تقي مصطفي فيصل,شارع محمود علي المنشيه فيصل اسامه محمد,136,صباح وحيد,صباح وحيد,الجيزة,القاهرة الكبرى,المنشية,56.0,2026-05-17 00:16:31,2026-05-19 16:48:57,001,GLB_0007
49360261,59,106320,8,سيبروسين نقط س ج,1,28.0,15.12,7647,صيدليه الفتح حدائق اكتوبر,مول الفتح بجوار مشروع 266 حدائق اكتوبر,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,حدائق أكتوبر,79.0,2026-05-21 00:43:56,2026-05-22 09:21:35,002,GLB_0032
48424705,59,330,11,سيبرو نقط س ج,6,25.0,67.5,5019,صيدليه د مروه الرحاب,سوق الرحاب القديم,6,نهى الدالى,نهى الدالى,القاهرة,القاهرة الكبرى,الرحاب,24.0,2025-01-02 16:16:02,2026-05-19 16:21:14,006,GLB_0038
48425787,59,461,11,سيبرو نقط س ج,2,29.0,21.3,2667,صيدليه محمود مصطفي الهرم,92امتداد عز الدين عمرالهرم,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,الهرم,63.0,2025-01-03 12:12:54,2026-05-19 16:21:15,070,GLB_0039
48435045,59,1675,11,سيبرو نقط س ج,2,29.0,21.3,3417,صيدليه رباب الوحده امبابه,21 شارع علي فرغلي متفرع من كمال حمزه من شارع الاقصر امبابه,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,إمبابة,9.0,2025-01-09 23:24:33,2026-05-19 16:21:30,004,GLB_0040
48435232,59,1695,11,سيبرو نقط س ج,5,29.0,53.25,2685,صيدليه احمد عماد فيصل,كفر نصار شارع عبيد بجوار البوسطه,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,فيصل,99.0,2025-01-09 00:59:59,2026-05-19 16:21:32,002,GLB_0041
48435612,59,1737,11,سيبرو نقط س ج,2,28.0,21.6,5181,صيدليه تامر جابر العمرانيه,5ش معوض ابوالحسن من شارع محمد يوسف خلف كنيسه الانبا شنوده,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,العمرانية,40.0,2025-01-10 06:09:33,2026-05-19 16:21:32,070,GLB_0042
48437407,59,1968,11,سيبرو نقط س ج,5,28.0,54.0,4403,صيدليه ريهام عيد الكونيسه,ترسا البلد بجوار المعهد الديني ومركز مكه الطبي الكونيسه,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,الكنيسة,46.0,2025-01-11 13:41:34,2026-05-19 16:21:43,070,GLB_0043
48444424,59,3064,11,سيبرو نقط س ج,2,30.0,21.0,2940,صيدليه فيوليت جورج بشتيل ف,1 شارع 6 من شارع 10 وراق العرب,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,بشتيل,69.0,2025-01-17 12:36:06,2026-05-19 16:22:02,004,GLB_0044
48446492,59,3355,11,سيبرو نقط س ج,3,29.0,31.95,2773,صيدليه جلاب هرم,شارع الاخلاص متفرع من شارع المريوطيه الهرم,76,غاده,غاده,الجيزة,القاهرة الكبرى,المريوطية,49.0,2025-01-19 10:59:21,2026-05-19 16:22:06,070,GLB_0045
48447208,59,3486,11,سيبرو نقط س ج,2,28.0,21.6,2457,صيدليه احمد خيري الحديثه بشتيل س,شارع حنفي غنيم من شارع ترعه بشتيل خلف مسجد حمزه,76,غاده,غاده,الجيزة,القاهرة الكبرى,بشتيل,69.0,2025-01-20 10:15:09,2026-05-19 16:22:07,004,GLB_0046
48451832,59,4146,11,سيبرو نقط س ج,5,29.0,53.25,2498,صيدليه ماري فيصل,13 شارع 16 عماره من شارع اللبيني فيصل,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,اللبيني,48.0,2025-01-23 23:56:43,2026-05-19 16:22:14,002,GLB_0047
48456397,59,4860,11,سيبرو نقط س ج,2,29.0,21.3,2773,صيدليه جلاب هرم,شارع الاخلاص متفرع من شارع المريوطيه الهرم,76,غاده,غاده,الجيزة,القاهرة الكبرى,المريوطية,49.0,2025-01-28 14:00:58,2026-05-19 16:22:21,070,GLB_0045
48457350,59,5023,11,سيبرو نقط س ج,2,29.0,21.3,4224,صيدليه نور الهرم,شارع شفيق غالي بجوار فندق اوروبا الهرم,76,غاده,عائشة,الجيزة,القاهرة الكبرى,الهرم,63.0,2025-01-29 15:12:32,2026-05-19 16:22:23,070,GLB_0048
48458071,59,5150,11,سيبرو نقط س ج,2,29.0,21.3,2773,صيدليه جلاب هرم,شارع الاخلاص متفرع من شارع المريوطيه الهرم,76,غاده,غاده,الجيزة,القاهرة الكبرى,المريوطية,49.0,2025-01-30 12:19:31,2026-05-19 16:22:34,070,GLB_0045
48458890,59,5273,11,سيبرو نقط س ج,3,29.0,31.95,3161,صيدليه طاهر البراجيل,شارع المعهد الازهري الابتدائي ع ناصيه الشارع مغسله المهندس,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,البراجيل,13.0,2025-01-31 06:28:02,2026-05-19 16:22:35,004,GLB_0049
48459213,59,5312,11,سيبرو نقط س ج,3,30.0,31.5,3870,صيدليه نورا محمود امبابه,شارعحسن محمد امبابه,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,إمبابة,9.0,2025-01-31 12:42:58,2026-05-19 16:22:35,004,GLB_0050
48461296,59,5638,11,سيبرو نقط س ج,3,29.0,31.95,4403,صيدليه ريهام عيد الكونيسه,ترسا البلد بجوار المعهد الديني ومركز مكه الطبي الكونيسه,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,الكنيسة,46.0,2025-02-02 14:25:32,2026-05-19 16:22:39,070,GLB_0043
48476708,59,8017,11,سيبرو نقط س ج,4,28.0,43.2,2613,صيدليه شريف مفتاح الهرم,94 ج حدايق الاهرام مدخل بوابه احمس,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,حدائق الأهرام,82.0,2025-02-15 14:17:40,2026-05-19 16:23:13,002,GLB_0051
48489623,59,9914,11,سيبرو نقط س ج,3,30.0,31.5,1098,صيدليه طارق فريد فيصل,شارع ابو زيد متفرع من شارع العشرين امام قهوه ناصر بعد جامع الضو,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,العشرين,38.0,2025-02-25 10:59:29,2026-05-19 16:23:43,001,GLB_0052
48495243,59,10731,11,سيبرو نقط س ج,2,30.0,21.0,3361,صيدليه سها رمضان فيصل,12 شارع عمرو بن العاص متفرع من كعابيش طوابق فيصل ناصيه التوحيد والنور,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,كعبيش,103.0,2025-03-01 01:44:04,2026-05-19 16:24:00,001,GLB_0053
48503122,59,11852,11,سيبرو نقط س ج,5,29.0,53.25,4403,صيدليه ريهام عيد الكونيسه,ترسا البلد بجوار المعهد الديني ومركز مكه الطبي الكونيسه,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,الكنيسة,46.0,2025-03-07 12:26:28,2026-05-19 16:24:22,070,GLB_0043
48524345,59,14876,11,سيبرو نقط س ج,1,27.0,10.95,5579,صيدليه ايمان عبدالله دار السلام,شارع محمد عوض من نور عطاالله دار السلام 32,168,شرين غلا,ياسمين خالد,القاهرة,القاهرة الكبرى,دار السلام,84.0,2025-03-22 11:31:45,2026-05-19 16:25:02,006,GLB_0019
48531033,59,15794,11,سيبرو نقط س ج,2,28.0,21.6,5701,صيدليه عبد العزيز مصطفي ش ابوزيد,شارع ابو زيد من شارع العشرين,165,امل مصطفى,شيماء رمضان,الجيزة,القاهرة الكبرى,العشرين,38.0,2025-03-25 19:11:37,2026-05-19 16:25:13,001,GLB_0054
48531648,59,15864,11,سيبرو نقط س ج,3,30.0,31.5,1098,صيدليه طارق فريد فيصل,شارع ابو زيد متفرع من شارع العشرين امام قهوه ناصر بعد جامع الضو,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,العشرين,38.0,2025-03-26 10:03:58,2026-05-19 16:25:14,001,GLB_0052
48534894,59,16287,11,سيبرو نقط س ج,5,27.0,54.75,3252,صيدليه صلاح البراجيل,شارع السويقه بجوار مستشفي الرحمه بنزيمه موبيل,161,مريم محمد,مريم محمد,الجيزة,القاهرة الكبرى,البراجيل,13.0,2025-03-27 15:34:56,2026-05-19 16:25:19,004,GLB_0055
48538640,59,16736,11,سيبرو نقط س ج,3,29.0,31.95,6734,صيدليه عابدين المعتمديه,شارع المعتمديه اخرالاسفلت امام شارع مخخزن الانابيب الجديد,169,ساره طه,دينا على,الجيزة,القاهرة الكبرى,المعتمدية,52.0,2025-03-29 11:25:36,2026-05-19 16:25:26,009,GLB_0056
48541263,59,17063,11,سيبرو نقط س ج,1,30.0,10.5,4366,صيدليه اوميجا المهندسين,2 شارع الخرطوم مترع من شارع السودان المهندسين,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,المهندسين,62.0,2025-04-01 00:14:32,2026-05-19 16:25:31,003,GLB_0057
48550349,59,18149,11,سيبرو نقط س ج,2,29.0,21.3,3161,صيدليه طاهر البراجيل,شارع المعهد الازهري الابتدائي ع ناصيه الشارع مغسله المهندس,161,مريم محمد,مريم محمد,الجيزة,القاهرة الكبرى,البراجيل,13.0,2025-04-05 16:39:35,2026-05-19 16:25:45,004,GLB_0049
48552145,59,18425,11,سيبرو نقط س ج,1,30.0,10.5,2956,صيدليه محمد,استلام المخزن,6,نهى الدالى,نهى الدالى,,,,,2025-04-06 14:07:47,2026-05-19 16:25:49,055,GLB_0058
48562971,59,19864,11,سيبرو نقط س ج,2,29.0,21.3,2174,صيدليه سليمان محمد الطوابق,29ش عبد الحميد خالد الشهيد احمد حمدي بجوار مركز الحياه الطبي,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,الطوابق,35.0,2025-04-10 16:29:01,2026-05-19 16:26:14,001,GLB_0059
48574000,59,21378,11,سيبرو نقط س ج,4,29.0,42.6,7360,صيدليه الياسمين الجيزه 070 اي سبلاي,شارع ربيع الجيزه امام محطه ام المصريين الجيزه,159,اى سبلاى,اى سبلاى,الجيزة,القاهرة الكبرى,الجيزة,17.0,2025-04-16 09:56:24,2026-05-19 16:26:32,,GLB_0060
48583178,59,22623,11,سيبرو نقط س ج,5,27.0,54.75,5589,صيدليه الخضيري السيده زينب,شارع الخضيري السيده,167,انور محمد م,فريده,القاهرة,القاهرة الكبرى,السيدة زينب,29.0,2025-04-20 16:24:55,2026-05-19 16:26:47,006,GLB_0061
48583477,59,22666,11,سيبرو نقط س ج,3,27.0,32.85,6775,صيدليه مرزوق ش ابو الهول,شارع ابو الهول ناصيه ابو الهول السياحي مع شارع الاميره فاديهبجوار كباجي ابو عماد,167,انور محمد م,انور محمد م,الجيزة,القاهرة الكبرى,أبو الهول,3.0,2025-04-20 00:03:23,2026-05-19 16:26:47,002,GLB_0062
48591226,59,23783,11,سيبرو نقط س ج,7,30.0,73.5,379,صيدليه نبيل الحديثه المهندسين,شارع الغريب ميت عقبه المهندسين,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,المهندسين,62.0,2025-04-24 01:18:48,2026-05-19 16:27:03,003,GLB_0063
48595959,59,24407,11,سيبرو نقط س ج,2,29.0,21.3,2773,صيدليه جلاب هرم,شارع الاخلاص متفرع من شارع المريوطيه الهرم,76,غاده,غاده,الجيزة,القاهرة الكبرى,المريوطية,49.0,2025-04-27 12:45:00,2026-05-19 16:27:11,070,GLB_0045
48606154,59,25816,11,سيبرو نقط س ج,3,28.0,32.4,4041,صيدليه احمد عبد الرحمن ويل الحدائق,141ط البوابه التانيه القديمه,6,نهى الدالى,نهى الدالى,,,,,2025-05-02 11:19:08,2026-05-19 16:27:27,002,GLB_0064
48616709,59,27308,11,سيبرو نقط س ج,1,27.0,10.95,5580,صيدليه حازم المقطم,عمارات الصفا الحي الثالث امام مسجدالحافظ شارع مجمع الاديان الهضبه الوسطه 2 3,167,انور محمد م,فريده,القاهرة,القاهرة الكبرى,المقطم,53.0,2025-05-07 13:40:02,2026-05-19 16:27:44,006,GLB_0065
48631616,59,29391,11,سيبرو نقط س ج,2,27.0,21.9,5019,صيدليه د مروه الرحاب,سوق الرحاب القديم,6,نهى الدالى,نهى الدالى,القاهرة,القاهرة الكبرى,الرحاب,24.0,2025-05-14 16:19:40,2026-05-19 16:28:19,006,GLB_0038
48639024,59,30423,11,سيبرو نقط س ج,1,29.0,10.65,1533,صيدليه ياسر نبيل العشرين,12 شارع الصحابه تقاطع شارع مساكن شارع العشرين امام بلوك 26,153,جومانا محمد,جومانا,الجيزة,القاهرة الكبرى,العشرين,38.0,2025-05-18 15:45:50,2026-05-19 16:28:31,001,GLB_0066
48647579,59,31621,11,سيبرو نقط س ج,3,30.0,31.5,379,صيدليه نبيل الحديثه المهندسين,شارع الغريب ميت عقبه المهندسين,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,المهندسين,62.0,2025-05-22 00:43:58,2026-05-19 16:28:54,003,GLB_0063
48647985,59,31657,11,سيبرو نقط س ج,3,30.0,31.5,2832,صيدليه محمود المغربي نقدي فيصل,ش1 شكري الدالي نبيل طه بجوارمسجد الابراهيمي كفر طهرمس,6,نهى الدالى,نهى الدالى,الجيزة,القاهرة الكبرى,كفر طهرمس,107.0,2025-05-22 05:07:39,2026-05-19 16:28:54,001,GLB_0067
48660070,59,33222,11,سيبرو نقط س ج,2,27.0,21.9,5579,صيدليه ايمان عبدالله دار السلام,شارع محمد عوض من نور عطاالله دار السلام 32,168,شرين غلا,ياسمين خالد,القاهرة,القاهرة الكبرى,دار السلام,84.0,2025-05-29 10:43:24,2026-05-19 16:29:24,006,GLB_0019
48663325,59,33638,11,سيبرو نقط س ج,2,30.0,21.0,5687,صيدليه عبير عرفه المقطم,شارع الجامعه الحديثه المقطم,159,اى سبلاى,اى سبلاى,القاهرة,القاهرة الكبرى,المقطم,53.0,2025-05-31 10:10:58,2026-05-19 16:29:34,006,GLB_0068
48672059,59,34831,11,سيبرو نقط س ج,3,29.0,31.95,4412,صيدليه دعاء عطوش حدائق الاهرام,149و بجانب سمارت واي البوابه الثانيه خفرع,76,غاده,غاده,الجيزة,القاهرة الكبرى,حدائق الأهرام,82.0,2025-06-04 09:02:41,2026-05-19 16:29:48,002,GLB_0069
48676375,59,35368,11,سيبرو نقط س ج,2,30.0,21.0,2685,صيدليه احمد عماد فيصل,كفر نصار شارع عبيد بجوار البوسطه,137,اسماء رجب,اسماء رجب,الجيزة,القاهرة الكبرى,فيصل,99.0,2025-06-07 00:47:02,2026-05-19 16:29:55,002,GLB_0041
